id,last,first,team,position,season
abbae101,Abbaticchio,Ed,"Boston Braves,Philadelphia Phillies,Pittsburgh Pirates",2nd Base,"1898,1903,1904,1905,1907,1908,1909,1910"
altrn101,Altrock,Nick,"ASG,Boston Red Sox,Chicago White Sox,Louisville Colonels,Washington Senators",Pitcher,"1898,1902,1903,1904,1905,1906,1907,1908,1909,1912,1913,1914,1915,1918,1919,1924,1929,1930,1931,1933"
amold101,Amole,Doc,Washington Senators,Pitcher,1898
andej101,Anderson,John,"Brooklyn Dodgers,Chicago White Sox,Milwaukee Brewers,New York Yankees,St. Louis Browns,Washington Senators,Washington Senators",1st Base,"1898,1899,1901,1902,1903,1904,1905,1906,1907,1908"
bakek101,Baker,Kirtley,Washington Senators,Pitcher,"1898,1899"
balla101,Ball,Art,Baltimore Orioles,3rd Base,1898
batef101,Bates,Frank,"Cleveland Spiders,St. Louis Cardinals",Pitcher,"1898,1899"
beckb102,Becker,Bob,Philadelphia Phillies,Pitcher,1898
beckj103,Beckley,Jake,"Cincinnati Reds,St. Louis Cardinals",1st Base,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907"
bergm102,Bergen,Marty,Boston Braves,Catcher,"1898,1899"
beece102,Biecher,Ed,Cleveland Spiders,Center Field,1898
bierl101,Bierbauer,Lou,St. Louis Cardinals,2nd Base,1898
blakh101,Blake,Harry,"Cleveland Spiders,St. Louis Cardinals",Right Field,"1898,1899"
bowef102,Bowerman,Frank,"Baltimore Orioles,Boston Braves,New York Giants,Pittsburgh Pirates",Catcher,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909"
boylj102,Boyle,Jack,Philadelphia Phillies,1st Base,1898
brank101,Bransfield,Kitty,"Boston Braves,Chicago Cubs,Philadelphia Phillies,Pittsburgh Pirates",1st Base,"1898,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911"
breit101,Breitenstein,Ted,"Cincinnati Reds,St. Louis Cardinals",Pitcher,"1898,1899,1900,1901"
brigb101,Briggs,Buttons,Chicago Cubs,Pitcher,"1898,1904,1905"
brods101,Brodie,Steve,"Baltimore Orioles,Baltimore Orioles,New York Giants,Pittsburgh Pirates",Center Field,"1898,1899,1901,1902"
browt102,Brown,Tom,Washington Senators,Center Field,1898
burkj104,Burke,Jimmy,"Chicago White Sox,Cleveland Spiders,Milwaukee Brewers,Pittsburgh Pirates,St. Louis Cardinals",3rd Base,"1898,1899,1901,1902,1903,1904,1905"
burkj101,Burkett,Jesse,"Boston Red Sox,Cleveland Spiders,St. Louis Browns,St. Louis Cardinals",Left Field,"1898,1899,1900,1901,1902,1903,1904,1905"
calln101,Callahan,Jimmy,"Chicago White Sox,Chicago Cubs",Left Field,"1898,1899,1900,1901,1902,1903,1904,1905,1911,1912,1913"
callj103,Callahan,John,St. Louis Cardinals,Pitcher,1898
cares101,Carey,Scoops,"Louisville Colonels,Washington Senators",1st Base,"1898,1902,1903"
carrc106,Carr,Charlie,"Cincinnati Reds,Cleveland Guardians,Detroit Tigers,Indianapolis Hoosiers,Philadelphia Athletics,Washington Senators",1st Base,"1898,1901,1903,1904,1905,1906,1914"
carrb102,Carrick,Bill,"New York Giants,Washington Senators",Pitcher,"1898,1899,1900,1901,1902"
carsk102,Carsey,Kid,"Brooklyn Dodgers,Cleveland Spiders,New York Giants,St. Louis Cardinals,Washington Senators",Pitcher,"1898,1899,1901"
cased101,Casey,Doc,"Brooklyn Dodgers,Chicago Cubs,Detroit Tigers,Washington Senators",3rd Base,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907"
chanf101,Chance,Frank,"Chicago Cubs,New York Yankees",1st Base,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914"
chilc101,Childs,Cupid,"Chicago Cubs,Cleveland Spiders,St. Louis Cardinals",2nd Base,"1898,1899,1900,1901"
clarw104,Clark,Willie,Pittsburgh Pirates,1st Base,"1898,1899"
clarb103,Clarke,Boileryard,"Baltimore Orioles,Boston Braves,New York Giants,Washington Senators",Catcher,"1898,1899,1900,1901,1902,1903,1904,1905"
clard103,Clarke,Dad,Louisville Colonels,Pitcher,1898
clarf101,Clarke,Fred,"Louisville Colonels,Pittsburgh Pirates",Left Field,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1913,1914,1915"
clarh102,Clarke,Henry,Chicago Cubs,Pitcher,1898
clarj103,Clarke,Josh,"Boston Braves,Cleveland Guardians,Louisville Colonels,St. Louis Cardinals",Left Field,"1898,1905,1908,1909,1911"
clemj101,Clements,Jack,"Boston Braves,Cleveland Spiders,St. Louis Cardinals",Catcher,"1898,1899,1900"
clinb101,Clingman,Billy,"Chicago Cubs,Cleveland Guardians,Louisville Colonels,Washington Senators",Short Stop,"1898,1899,1900,1901,1903"
colep101,Coleman,Percy,Cincinnati Reds,Pitcher,1898
collj103,Collins,Jimmy,"Boston Red Sox,Boston Braves,Philadelphia Athletics",3rd Base,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908"
connb105,Conn,Bert,Philadelphia Phillies,Pitcher,"1898,1900,1901"
connj106,Connor,Jim,Chicago Cubs,2nd Base,"1898,1899"
coold101,Cooley,Duff,"Boston Braves,Detroit Tigers,Philadelphia Phillies,Pittsburgh Pirates",Left Field,"1898,1899,1900,1901,1902,1903,1904,1905"
corct101,Corcoran,Tommy,"Cincinnati Reds,New York Giants",Short Stop,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907"
crigl101,Criger,Lou,"Boston Red Sox,Cleveland Spiders,New York Yankees,St. Louis Browns,St. Louis Cardinals",Catcher,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1912"
cronj102,Cronin,Jack,"Baltimore Orioles,Brooklyn Dodgers,Cincinnati Reds,Detroit Tigers,New York Giants,Pittsburgh Pirates",Pitcher,"1898,1899,1901,1902,1903,1904"
crooj101,Crooks,Jack,St. Louis Cardinals,2nd Base,1898
crosl101,Cross,Lave,"Brooklyn Dodgers,Cleveland Spiders,Philadelphia Athletics,St. Louis Cardinals,Washington Senators",3rd Base,"1898,1899,1900,1901,1902,1903,1904,1905,1906,1907"
